Designator,Mid X,Mid Y,Rotation,Layer
D1,45.915057,-55.58747,345.0,bottom
D10,248.69397,-59.210831,15.0,bottom
D11,41.773953,-71.042283,345.0,bottom
D12,63.361771,-63.885771,345.0,bottom
D13,83.008464,-63.973703,345.0,bottom
D14,100.066964,-73.720898,345.0,bottom
D15,117.772508,-81.053277,345.0,bottom
D16,176.817513,-84.663056,15.0,bottom
D17,194.517513,-77.313057,15.0,bottom
D18,211.567512,-67.563054,15.0,bottom
D19,231.21751,-67.463056,15.0,bottom
D2,67.795291,-48.509324,345.0,bottom
D20,252.81751,-74.613058,15.0,bottom
D21,37.632847,-86.497102,345.0,bottom
D22,59.220675,-79.340594,345.0,bottom
D23,78.867353,-79.428518,345.0,bottom
D24,95.925856,-89.175708,345.0,bottom
D25,113.6314,-96.508088,345.0,bottom
D26,180.941057,-100.065275,15.0,bottom
D27,198.641062,-92.765275,15.0,bottom
D28,215.691057,-83.015277,15.0,bottom
D29,235.341053,-82.915277,15.0,bottom
D3,87.369537,-48.577831,345.0,bottom
D30,256.891052,-89.86528,15.0,bottom
D31,24.791052,-57.160835,345.0,bottom
D32,269.793967,-60.760832,15.0,bottom
D33,88.937742,-115.255707,345.0,bottom
D34,110.067513,-121.663056,335.0,bottom
D35,129.619114,-131.759455,325.0,bottom
D36,166.767508,-139.463058,35.0,bottom
D37,185.367512,-127.463056,25.0,bottom
D38,205.617519,-118.813057,15.0,bottom
D39,20.643701,-72.627383,345.0,bottom
D4,104.208064,-58.266078,345.0,bottom
D40,273.917513,-76.26306,15.0,bottom
D44,16.502609,-88.082199,345.0,bottom
D5,121.913607,-65.598455,345.0,bottom
D51,278.091052,-91.665277,15.0,bottom
D6,172.693968,-69.160834,15.0,bottom
D7,190.343965,-61.860832,15.0,bottom
D8,207.443967,-52.060836,15.0,bottom
D9,227.043964,-52.01083,15.0,bottom
J1,151.817512,-73.113057,0.0,top
J2,153.78751,-79.603054,0.0,top
SW1,50.926276,-62.960423,345.0,top
SW10,256.546499,-62.962697,15.0,top
SW11,46.785172,-78.415232,345.0,top
SW12,68.372999,-71.25872,345.0,top
SW13,88.019677,-71.346652,345.0,top
SW14,105.078181,-81.09385,345.0,top
SW15,122.783722,-88.426228,345.0,top
SW16,184.689056,-88.428501,15.0,top
SW17,202.394592,-81.096125,15.0,top
SW18,219.453092,-71.348931,15.0,top
SW19,239.099774,-71.261004,15.0,top
SW2,72.514107,-55.803917,345.0,top
SW20,260.687596,-78.417508,15.0,top
SW21,42.644074,-93.870048,345.0,top
SW22,64.231894,-86.713541,345.0,top
SW23,83.878571,-86.80147,345.0,top
SW24,100.937077,-96.548652,345.0,top
SW25,118.64262,-103.881036,345.0,top
SW26,188.830153,-103.883318,15.0,top
SW27,206.535704,-96.550938,15.0,top
SW28,223.594193,-86.803742,15.0,top
SW29,243.240877,-86.715814,15.0,top
SW3,92.160788,-55.891837,345.0,top
SW30,264.828709,-93.872326,15.0,top
SW31,29.796026,-64.545514,345.0,top
SW32,277.676742,-64.547795,15.0,top
SW33,93.948962,-122.628653,345.0,top
SW34,113.682498,-129.811085,335.0,top
SW35,131.869042,-140.311085,325.0,top
SW36,175.603739,-140.313352,35.0,top
SW37,193.790268,-129.813347,25.0,top
SW38,213.523807,-122.630932,15.0,top
SW39,25.654928,-80.000332,345.0,top
SW4,109.21929,-65.639033,345.0,top
SW40,281.817852,-80.002612,15.0,top
SW41,162.641262,-147.498978,0.0,bottom
SW42,153.817508,-68.580555,180.0,bottom
SW46,21.513825,-95.455143,345.0,top
SW47,285.958954,-95.457415,15.0,top
SW5,126.924832,-72.971408,345.0,top
SW6,180.547952,-72.973695,15.0,top
SW7,198.253498,-65.641316,15.0,top
SW8,215.311982,-55.894123,15.0,top
SW9,234.958674,-55.806187,15.0,top
U1,153.869084,-84.668696,270.0,top
U3,153.859084,-84.678696,270.0,top
